chromosome	start	end	gene_symbol	gene_id	strand
1	71860000	72750000	NEGR1	ENSG00000172260	+
1	8000000	8100000	RERE	ENSG00000142599	-
2	184600000	184900000	ZNF804A	ENSG00000170396	+
3	4500000	4600000	LRRN1	ENSG00000174233	+
4	7900000	8050000	AFAP1	ENSG00000196526	+
5	900000	1050000	TERT	ENSG00000164362	-
6	31940000	31970000	C4A	ENSG00000244731	+
7	11900000	12100000	THSD7A	ENSG00000005108	-
8	2900000	3100000	CSMD1	ENSG00000183117	-
10	18400000	18830000	CACNB2	ENSG00000165995	+
10	60000000	60700000	ANK3	ENSG00000151150	-
11	27650000	27720000	BDNF	ENSG00000176697	-
11	113400000	113475000	DRD2	ENSG00000149295	-
12	2000000	2700000	CACNA1C	ENSG00000151067	+
15	90850000	90880000	FURIN	ENSG00000140564	+
16	9750000	10180000	GRIN2A	ENSG00000183454	-
17	30190000	30240000	SLC6A4	ENSG00000108576	-
18	55220000	55660000	TCF4	ENSG00000196628	-
